title;name;location;requirements;language_req;sector;salary
Back Office munkatárs; ;Országosan bárhonnan végezhetõ;rendelkezz kiváló szóbeli és írásbeli kommunikációs készséggellogikus, problémamegoldó gondolkodás jellemezzentanulj gyorsan, légy motivált, pozitív és lendületesfelhasználói szintû Microsoft Office ismeretekkel rendelkezz;Nem igényel nyelvtudást;Ügyfélszolgálat;
SAP HR Application Expert;ZF Hungária Kft.;Home Office;"Degree in Economics, HR or related disciplines;1-3 years of experience in HR process consulting, implementation, and support;Knowledge of HR processes such as payroll, social insurance, tax declarations and other;Good knowledge of SAP HCM, especially payroll accounting module would be an advantage; Strong interest of learning IT;Good interpersonal and communication skills;  Able to communicate verbally and in written form in English to be able to work in an international team.";Angol középfok;IT Üzemeltetés;
Kereskedelmi és Marketing vezetõ; ;Országosan bárhonnan végezhetõ, Budapest, Fejér megye, Pest megye, Somogy megye, Zala megye, Baranya megye, Tolna megye, Vas megye, Veszprém megye, Bács-Kiskun megye, Békés megye, Borsod-Abaúj-Zemplén megye, Csongrád-Csanád megye, Gyõr-Moson-Sopron megye, Hajdú-Bihar megye, Heves megye,;Felsõfokú marketing szakirányú végzettségMinimum 3 év releváns szakmai tapasztalatTárgyalóképes angol nyelvtudásKiváló kommunikációs, szervezõi és problémamegoldó készségEgyüttmûködõ, proaktív hozzáállás és jó alkalmazkodó képességMunkabírás, terhelhetõségMS Office, Google adwords és analytics, Facebook Hirdetéskezelõ felhasználói szintû ismerete;Angol középfok;Értékesítés; 
Munkahelyi mérnök (magasépítés);KÉSZ Építõ Zrt.;Debrecen;Hasonló területen szerzett elõkészítési tapasztalattal rendelkezelFelhasználói szintû számítógépes ismeretekkel bírsz (Ms Office, AutoCAD)A mûszaki tervek nem okoznak gondot a számodra (például vasbeton szerkezetek, acélszerkezetek)Jó kommunikációs és problémamegoldó készséggel bírszRacionális gondolkodás, céltudatosság, kitartás jellemez;Nem igényel nyelvtudást;Építõipar; 
Szakács;GASZTRO SZOLGÁLTATÓ Kft.;4060 Balmazújváros;Az álláshoz tartozó elvárások:szakács végzettség;Nem igényel nyelvtudást;Szakmunka;
Projekt manager (Építõipar);GSV KFT;4034 Debrecen, Vámospércsi út 37.;építõiparhoz kapcsolódó végzettség, tapasztalatjó kommunikációs és problémamegoldó képességlojalitásvevõorientált szemléletmódpozitív hozzáállásönálló, felelõségteljes munkavégzés;Nem igényel nyelvtudást;Építõipar;
Kereskedelmi képviselõ;Endo-Plus-Service Kft.;Országosan bárhonnan végezhetõ;-Az egészségügy területén bizonyíthatóan eltöltött szakmai múlttal rendelkezzen-Egészségügyi vagy mûszaki tapasztalattal rendelkezzen-kiváló tárgyalási és kommunikációs készség-Angol vagy Német nyelvtudás-Ügyfélorientált szemléletmód, üzleti megjelenés-Konfliktus kezelõ, határozott egyéniség-B kategóriájú jogosítvány-MS Office és Windows felhasználói színtû ismerete-Önállóság,megbizhatóság;Angol alapfok;Értékesítés;
Gyengeáram projektvezetõ;evotech Kft.;Országosan bárhonnan végezhetõ;Felsõfokú villamos szakirányú végzettség.Hasonló pozícióban szerzett legalább 3 év szakmai tapasztalat.Problémamegoldó és konfliktuskezelõ készség.Emelt szintû MS Office ismeret.Önálló munkavégzés.B kategóriás jogosítvány.;Nem igényel nyelvtudást;Mérnök;
Automatika projektvezetõ;evotech Kft.;Országosan bárhonnan végezhetõ;Felsõfokú villamos szakirányú (erõsáram vagy automatika) végzettség.Hasonló pozícióban szerzett 3 év szakmai tapasztalat.Problémamegoldó és konfliktuskezelõ készség.Emelt szintû MS Office ismeret.Önálló munkavégzés.B kategóriás jogosítvány.;Nem igényel nyelvtudást;Mérnök;
Automatika szerelésvezetõ;evotech Kft.;Országosan bárhonnan végezhetõ;Villamos szakirányú végzettség.Hasonló pozícióban szerzett minimum 3 év szakmai tapasztalat.Felhasználó szintû MS Office ismeret.Önálló munkavégzés.B kategóriás jogosítvány.;Nem igényel nyelvtudást;Mérnök;
Beüzemelõ mérnök, programozó AUTOMATIKA terület;evotech Kft.;Országosan bárhonnan végezhetõ;Felsõfokú vagy középfokú szakirányú végzettség.Hasonló pozícióban szerzett 1 év szakmai tapasztalat.Emelt szintû MS Office ismeret.Önálló munkavégzés.B kategóriás jogosítvány.;Nem igényel nyelvtudást;Építõipar;
Telefonos behajtási ügyintézõ;MVM Ügyfélkapcsolati Kft.;Budapest / Debrecen;Középfokú végzettség (érettségi)ügyfélközpontúságproblémamegoldásegyüttmûködés, stresszkezelõ-képesség;Nem igényel nyelvtudást;Pénzügy; 
Retention Telefonos Munkatárs;Vodafone Magyarország Zrt.;Otthonról végezhetõ;Minimum érettségi bizonyítvánnyal rendelkezelMagabiztosan kezeled a számítógépetPrecíz és pontos vagyÉrtékesítés-orientált szemlélettel rendelkezelÉrdeklõdsz és nyitott vagy a technológiai újdonságokraProfesszionálisan kezeled a problémákat és kifogásokat, vagyis nem rettensz meg a kihívásoktólMagabiztos és megnyerõ a kommunikációdÜgyfélközpontú, empatikus és türelmes vagyTeljesítményorientáltságra törekszelPozitív hozzáállás és lelkiismeretes munkavégzés jellemezAz angol nyelvtudásod elõnyt jelent;Nem igényel nyelvtudást;Értékesítés;
Számítógép vezérelt plazmavágó gépkezelõ; ;Debrecen;Fémipari / gépkezelõi szakmunkás végzettségSzámítógépes tudás ( Windows, Office, Excel, Word)Hasonló mûködésû gépen végzett munkahelyi tapasztalat elõnyt jelent;Nem igényel nyelvtudást;Fizikai; 
Hegesztõ; ;Téglás;Hegesztõ képesítés és releváns munkatapasztalat minimum 2 évTöbbmûszakos munkarend vállalása (3 mûszak 8 óra)Felelõsségteljes, precíz munkavégzésMunkakörnyezetére igényes;Nem igényel nyelvtudást;Szakmunka;
Banki tanácsadó (jelzálog);K&H Bank Zrt.;4026 Debrecen, Kálvin tér 8.;gazdasági végzettség / FEBIjelzáloghitelezési tevékenység végzéséz kötõdõ végzettség meglétesági hitelezés (elsõsorban jelzálog) terén szerzett több szakmai tapasztalatügyfélorientáltságmeggyõzõ kommunikációs- és értékesítési képességproblémamegó készségdöntéshozatal és felelõsségvállalásnagyfokú rugalmasság;Nem igényel nyelvtudást;Értékesítés; 
Banki tanácsadó (KKV);K&H Bank Zrt.;4220 Hajdúböszörmény, Korpona utca 14.;gazdasági végzettség / szakirányú végzettségminimum 2 tapasztalatot szereztél sági/mikrovállalati tanácsadói munkakörben (KKV szegmens elõnyt jelent)erõs i attitûd jellemezszámítástechnikai rendszereket, alkalmazásokat felhasználó szinten ismered;Nem igényel nyelvtudást;Bank; 
TMK karbantartó / Gépbeállító lakatos;Global Green Europe Kft.;4060 Balmazújváros;Szakirányú végzettség,3 vagy 4 mûszakos munkarend vállalása;Nem igényel nyelvtudást;Szakmunka;
Regional sales manager;Sofidel Hungary Kft.;Anywhere nationwide;University degree or equivalent working experienceAdvanced level of English (to be used on a daily basis)3rd language knowledge is an advantage, especially RomanianKnowledge of Office applications at user levelAccurate, precise workAbility to work independently but be a team playerA friendly but firm mannerDriving licence category B – active driver;Angol felsõfok;Értékesítés;
Könyvelõ;AZE Zero Hungary Korlátolt Felelõsségû Társaság;4027 Debrecen;? Mérlegképes könyvelõi végzettség (vállalkozási szak + aktív regisztráció)? Minimum 3-5 éves teljeskörû könyvelõi gyakorlat? Lojalitás, csapatszellemiség? Felhasználói szintû számítógépes ismeretek (excel,word)? Pontos, precíz, munkájára igényes munkavégzés;Nem igényel nyelvtudást;Pénzügy;
Ppc szakértõ;Dentsu Hungary Kft.;Országosan bárhonnan végezhetõ;"minimum 2 év tapasztalat Google Ads és Facebook Ad Manager-eltovábbá mély gyakorlati tapasztalat a következõkben: Google, Facebook, Instagram, Waze, LinkedIn és Google Analyticserõs Microsoft PowerPoint és Excel tudáslegalább alapfokú bid management ismeretektöbb ügyfélen és több stakeholderrel vagy képes egyszerre együtt dolgozniinnovatív keresési stratégiák ismeretefolyamatos önfejlesztés képessége (nekünk is rengeteg képzésünk van, de senki nem fogja elvégezni õket helyetted ;))a digitális trendek ismereteigényesség a munkádra, figyelem a részletekreanalitikai szemléletcsapatban való dolgozás képességeerõs angol tudás szóban és írásban";Angol középfok;Marketing;
Terméktervezõ mérnök/ termékfejlesztõ mérnök;POLYDUCT Nyrt.;Nádudvar;gépészmérnök végzettséggyakorlat 3D tervezõszoftver használatábanképesség az önálló munkavégzésre, kreativitás, innovativitásproblémamegoldó képesség;Nem igényel nyelvtudást;Mérnök;
Controller;NewPush Europe Kft;Anywhere nationwide;Position Technical RequirementsExperience in working with multiple legal entities Proven work experience in accounting including US accountancyUnderstanding of economic principles, financial markets, currencies, and bankingUnderstanding of financial data analysis and reportingKnowledge of payroll, accounts payable and accounts receivable functionsExcellent accounting software user and administration skillsProven experience in financial project managementRequired SkillsExcellent written and verbal communication skills in EnglishWillingness to get familiar with the US, Mexican, and Peruvian financial regulationsAbility to deliver quality work, with strong organization and priority setting skillsAbility to work independently, with flexible hoursAbility to collaborate within a cross-functional team environmentAbility to take on the time difference between the USA and Hungary;Angol felsõfok;Pénzügy;
Contact Center Agent / Ügyfélszolgálatos;Foodpanda;Országosan bárhonnan végezhetõ;A kezdeti onboarding és tréningek után (az elején kapsz magad mellé valakit) máris segíthetsz a foodpanda felhasználóinak és partnereinek chaten, telefonon és emailben.Látni fogod a rendelési/kiszállítási folyamatok háttérrendszereit, és ezekbõl, meg a felhasználók/partnerek által adott információkból megtalálhatod a legjobb megoldást az adott kérdésreEbben is segítünk, sok leírásunk és folyamatunk van, és a csapat tagjai + a csapatvezetõk is be tudnak szállni egy-egy bonyolultabb esetnél.Számíts rá, hogy munkád során sok hasonló üggyel fogsz találkozni, így ezeket nagyon gyorsan meg fogod tudni válaszolni. A foodpandán belül a közvetlen csapatod körülbelül 30 fõs lesz. Ha jobban szeretsz chatelni, akkor a Customer Service csapatot ajánljuk, ahol a csapatvezetõk Melinda, Szidi és Viki, a Customer Service feje pedig Zoli – õk segítenek neked minden nap, hogy segíthess a felhasználóinknak. Ha szóban vagy jobb és szeretsz telefonálni, akkor pedig a Partner Service csapatunkhoz érdemes csatlakoznod, õk segítik éttermi és bolti partnereinket – itt Iza és Máté vezetik a csapatot, az egész egységet pedig Anna. A csapatot támogatja még tréner, aki segít megtanulni az alapokat és aztán továbbfejleszti a képességeidet és quality analystek, akik visszajelzést adnak a konkrét ügyeidrõl. Mi a feladat?A foodpanda Customer Service vagy Partner Service csapatának tagjaként a következõk lesznek a feladataid:A foodpanda felhasználóinak és partnereinek (éttermek, boltok) tájékoztatása és felmerülõ problémáik megoldásachaten, e-mailen, telefonon és a közösségi médiában,pozitív, nyugodt és határozott hozzáállással,akár párhuzamosan, egyszerre több ügyet kezelve,úgy, hogy elégedettek legyenek velünk, és legközelebb is minket válasszanak.Kapcsolattartás ügyfélszolgálatos- és diszpécserkollégákkal, egy-egy ügy közös megoldása.Saját ügyek gyors és hatékony végigvitele, ha szükséges, a foodpandán belül a megfelelõ csoporttal együttmûködve.Belsõ dokumentumokról, segédletekrõl, tréninganyagokról visszajelzés adása, akár fejlesztése.A felhasználóinktól/partnereinktõl érkezõ visszajelzések gyûjtése, elemzése, megoldási javaslatok készítése.;Nem igényel nyelvtudást;Ügyfélszolgálat;
Contact Center Agent / Ügyfélszolgálatos;Foodpanda;Országosan bárhonnan végezhetõ;Szuper kommunikációs készséget – szükséged lesz rá írásban és szóban egyaránt, az éhes emberek türelmetlenek. Az is fontos, hogy az elsõ pár mondatból fel tudd mérni, hogy kivel beszélgetsz a chatben vagy a hívásban, és a neki megfelelõ stílusban válaszolj. Ráadásul most az egész csapat otthonról dolgozik, velük is jól kell tudnod együttmûködni.Türelmet és megértést – ha empatikus vagy a felhasználóinkkal és partnereinkkel, nekik is és neked is jobb lesz napod. Nem kell zennek lenned, de segít.Tudj többfelé figyelni – egyszerre több beszélgetésben is részt kell venned, felhasználókkal, partnerekkel, kollégákkal.Gyorsan kapcsolj és kösd össze az információmorzsákat – legyél jó problémamegoldó, aki összevadássza a fontos információkat és helyes következtetéseket von le belõle.Magabiztos felhasználói szintû számítógépes ismereteket. Pl. billentyûkombinációk használatát, a böngészõk funkcióinak ismeretét (cache-törlés), alap számítógépes/mobiltelefonos hibaelhárítást.Gyors és pontos gépelést és helyesírást – nem baj, ha sokat hibázol, csak vedd észre és javítsd.Rendszeretet és rendszerezettséget – tartsd rendben a saját ügyeid, feljegyzéseid és a közös dokumentumokat is.Ownership-szemléletet/felelõsségtudatot – minden felhasználó és partner és minden ügy fontos, senkit nem várathatunk vagy hagyhatunk válasz nélkül.Alapfokú angol nyelvtudást – néhány rendszerünk angolul érhetõ el, és vannak külföldi felhasználóink és partnereink is.Középfokú végzettséget.;Nem igényel nyelvtudást;Ügyfélszolgálat;
Biztonságtechnikai rendszerszerelõ (Debrecen);Bon-Sec Vagyonvédelmi Kft.;Rugalmas munkavégzési hely - Hajdú-Bihar megye;- Szakirányú villanyszerelõi, mûszerész és/vagy biztonságtechnikai rendszer szerelõi/tervezõi képesítés.- Minimum 1-2 éves szakmai tapasztalat,- Önálló-, precíz munkavégzés.- Mobilitás- Vezetõi engedély- Lojalitás- Megfelelõ egészségi és fizikai állapot;Nem igényel nyelvtudást;Szakmunka;
Napelem telepítõ;AZE Zero Hungary Korlátolt Felelõsségû Társaság;4027 Debrecen;? Tetõn szerzett tapasztalat;Nem igényel nyelvtudást;Fizikai;Nettó 200e - 500e Ft havi bér
OMV Debrecen Füredi úti töltõállomás keres, érettségizett (elsõ sorban) férfi munkatársat, shop pénztárosi, és kútkezelõi állás betöltésére.;HENDON WEST Kft.;4027 Debrecen, Füredi út 27.;#NÉV?;Nem igényel nyelvtudást;Fizikai;"Bruttó 260e Ft havi bér


Bruttó 25e Ft negyedéves "
Jármûvezetõi vizsgabiztos (képzés biztosításával);KAV Közlekedési Alkalmassági és Vizsgaközpont Nonprofit KFT.;Országosan bárhonnan végezhetõ;"Az állás betöltéséhez elõírt jogszabályi követelmények:Betöltött 27. életév ésLegalább 3 éve meglévõ „B” kategóriára érvényes vezetõi engedély, valamintszakirányú felsõfokú végzettség vagylegalább középiskolai érettségi és ötéves szakoktatói gyakorlat vagylegalább középiskolai érettségi és ötéves közlekedésrendészeti gyakorlat. Az álláshoz tartozó további elvárások:Jó kapcsolatteremtõ és kommunikációs készség, valamint határozott fellépés;Szakmai fejlõdés iránti elkötelezettség;Kiváló problémamegoldó és gyors döntési képesség;Önállóság és precíz munkavégzés;Felhasználói szintû MS Office ismeretek.";Nem igényel nyelvtudást;Mérnök;
Gyógyszergyártó gépkezelõ;Richter Gedeon Nyrt.;Debrecen;Középfokú végzettség;Nem igényel nyelvtudást; ;
Manager;GéSz Gaál és Sziklás Kft.;Rugalmas munkavégzési hely - Budapest, Hajdú-Bihar megye, Pest megye;felsõfokú végzettség jó kommunikációs készségektalpraesettség, terhelhetõségutazási hajlandóság, külföldi utakon való részvétel;Nem igényel nyelvtudást;Pénzügy;Bruttó 400e - 600e Ft havi bér
Németül és angolul beszélõ diák Telefonkezelõ; ;Országosan bárhonnan végezhetõ;Német nyelvtudás írásban és beszédben, Angol nyelvtudás!Munkaidõk: Délutánok, Hétvégék, Éjszakai mûszakok ha pótolni kell egy kollegátA beléptetési folyamat 3 napot vesz igénybe, ehhez ki kell utaznod Ausztriába, aztán hazamész.(Minden költség fedezve).;Angol középfok;Ügyfélszolgálat;Bruttó 1 700 Ft/óra bér
Junior Data & KPI Analyst; ;Anywhere nationwide;Have prior experience working with data in a technical environmentProficient Excel user who is familiar with handling large databases and using advanced functionsAbility to detect correlation and come to conclusions based on dataKnow how to interpret customer business needs and translate them into applications and requirementsHave strong analytical skills and attention to detailsStrong English communicationSelf-motivated and able to work either independently or within a teamCan handle fast-paced work environment;Angol középfok;Adminisztráció;
Területi képviselõ; ;Rugalmas munkavégzési hely - Hajdú-Bihar megye, Szabolcs-Szatmár-Bereg megye;"Legalább középfokú iskolai végzettség;Felhasználói szintû számítógépes ismeretek (MS Office);„B” kategóriás jogosítvány;Kiváló kommunikációs és kapcsolatteremtõ képesség;Jó problémamegoldó készség;Eredményorientáltság.";Nem igényel nyelvtudást;Értékesítés;
Sales engineer;CABEX Ipari, és Kereskedelmi Korlátolt Felelõsségû Társaság;Országosan bárhonnan végezhetõ;"Elektronikai és/vagy mechanikai területen szerzett képzettségÉrtékesítési és projekt menedzseri tapasztalatUtazási hajlandóságMagyar anyanyelv, társalgási szintû angol nyelvtudásMS Office felhasználói szintû ismereteKommunikációs és tárgyalási készségDinamikus és célorientált egyéniség""B"" kategóriás jogosítvány";Angol középfok;Értékesítés;
Belsõ kommunikációs munkatárs;KITE Zrt.;Nádudvar;befejezett felsõfokú végzettséggel rendelkezik (kommunikáció, PR vagy marketing)rendelkezik legalább 2 éves releváns szakmai tapasztalattal,munkáját képes önállóan és projektszemlélettel végezni,rugalmas és proaktiv,megbízható és pontos,számítógépes ismeretei legalább felhasználói szintûek,jó kommunikációs és jó kapcsolatteremtõ képességgel rendelkezik.;Nem igényel nyelvtudást;Marketing;
Üzemi operátor; ;4031 Debrecen, Köntösgát sor 5.;Felsõfokú  szakirányú végzettségTöbb mûszakos munkarend vállalásaMegbízhatóság, pontosság, felelõsségtudatosságÖnálló munkavégzés, gyorsaság, tanulékonyságStressztûrésSzakmai elhivatottságHosszútávú elkötelezõdés;Nem igényel nyelvtudást;Gyártás;
Kiemelt pályázati projekt koordinátor;OPUS TITÁSZ Zrt.;Debrecen;Mûszaki/Gazdasági (villamos- vagy gépészmérnök, közgazdász) szakirányú egyetemi vagy fõiskolai végzettségHasonló munkakörben szerzett 3-5 év tapasztalat elõnyB kategóriás jogosítvány„B1” angol haladó középfokú nyelvtudásA WINDOWS és az MS Office teljes körû használata. Az SAP munkakörhöz kapcsolódó moduljainak, illetve adatbázis kezelõ és speciális szoftvereknek (AUTOCAD, ACROBAT, stb.) felhasználó szintû ismerete és használata;Angol középfok;Jog;
Nemzetközi Szervizmérnök;Komax Thonauer Kft;Országosan bárhonnan végezhetõ, Egyéb külföld;TE VAGY AZ IDEÁLIS JELÖLT AMENNYIBEN:Gépész-, mechatronikai- vagy villamosmérnök végzettséggel rendelkezelMechanikai szerelési tudással és villamossági ismeretekkel rendelkezelAngol nyelvet magabiztosan használodVan B kategóriás jogosítványod és vezetési tapasztalatodÜgyfélközpontúság és utazási hajlandóság jellemezProblémamegoldó gondolkodás és jó kommunikációs készség jellemez;Angol középfok;Mérnök;
Pénzforgalmi és riporting munkatárs;OPUS TITÁSZ Zrt.;Hajdúszoboszló;Egyetemi vagy fõiskolai gazdasági szakirányú végzettségElõnyt jelent a mérlegképes könyvelõi végzettség1-3 év munkatapasztalatWINDOWS és MS Office teljes körû használata, elektronikus levelezés és SAP munkakörhöz kapcsolódó moduljainak felhasználó szintû ismerete.Adó és számviteli törvények ismerete.;Nem igényel nyelvtudást;Pénzügy;
Villanyszerelõ (Debrecen, Balmazújváros, Hajdúszoboszló);OPUS TITÁSZ Zrt.;Debrecen, Balmazújváros, Hajdúszoboszló;Erõsáramú villanyszerelõi végzettség B kategóriás jogosítványKészenléti ügyelet vállalásaErkölcsi feddhetetlenség igazolása Pályakezdõ villanyszerelõk jelentkezését is várjuk!;Nem igényel nyelvtudást;Szakmunka;
Betanított fémipari operátorokat;Flexi Force Hungary Kft.;4031 Debrecen, Richter Gedeon utca 24.;Min. 8 általánosBüntetlen elõélet;Nem igényel nyelvtudást;Gyártás;
Sap szakértõ;OPUS TITÁSZ Zrt.;Otthonról végezhetõ;Mûszaki / gazdasági / informatikai egyetemi vagy fõiskolai végzettségûHasonló munkakörben szerzett 1-3 év tapasztalattal rendelkezikSAP, SQL, ITIL módszertan ismereteHaladó programozási gyakorlatHaladó operációs rendszer ismeret Fejlesztési módszertan ismeret angol középfokú nyelvtudásB” kategóriás jogosítványAnalitikus gondolkodásúJó probléma megoldó képességgel rendelkezikMegbízható és precízÜgyfélorientált hozzáállásúMagas szintû kommunikációs készséggel rendelkezikCsapatjátékos beállítottságú;Angol középfok;IT üzemeltetés;
Kiemelt projektek szakterületvezetõ;OPUS TITÁSZ Zrt.;Debrecen;Felsõfokú egyetemi vagy fõiskolai mûszaki (villamosmérnök [erõsáramú vagy energetikai]) végzettségMûszaki ellenõr tanfolyamHasonló munkakörben szerzett minimum 5 év tapasztalat, vezetõi pozícióban eltöltött legalább 1 éves tapasztalat„B” kategóriás jogosítvány„B2” angol haladó középfokú nyelvtudásA WINDOWS és az MS Office teljes körû használata. Az elektronikus levelezés, az SAP munkakörhöz kapcsolódó moduljainak, illetve adatbázis kezelõ és speciális szoftvereknek (AUTOCAD, INIS stb.) felhasználó szintû ismerete és használata;Angol középfok;Jog;
Mûszakvezetõ- diszpécser;A.K.S.D. Kft.;4031 Debrecen, István út 136.;Végzettség: legalább középfokú mûszaki, vagy logisztikai végzettség, releváns felsõfokú végzettség elõnyt jelent                                                   Munkatapasztalat: mûszaki, vagy logisztikai területen szerzett szakmai gyakorlat, elõnyt jelent a vezetõi tapasztalatJogosítvány: B kategóriaSzámítástechnikai ismeret: MS Excel, Word, Outlook alapos ismereteEgyéb: célorientált személyiség, aki képes hatékonyan együttmûködni a vállalat különbözõ szintjén dolgozó kollégáival és a cég partnereivel;Nem igényel nyelvtudást;Szállítás;
Csomagolóanyag-vizsgáló laboráns;Teva;Debrecen;Szakirányú technikusi végzettségÁtlagon felüli precizitás és monotónia tûrésÖnálló munkavégzés;Nem igényel nyelvtudást;Gyártás;
Ügyvivõ-szakértõ;Debreceni Egyetem, Kancellária, Tervezési és Kontrolling Igazgatóság, Költségvetési Osztály;4028 Debrecen, Kassai út 26.;"fõiskolai vagy egyetemi szintû szakirányú végzettség,magas szintû számítógépes ismeret, MS-Office magas szintû ismerete, haladó szintû, gyakorlatias Excel ismeret,kiváló kommunikációs készség, alkalmazkodóképesség, önállóság, rendszerszemlélet, pontos, precíz munkavégzés, nagyfokú diszkréció,a munka törvénykönyvérõl szóló 2012. évi I. törvény 44/A. §-ban foglalt feltételeknek való megfelelés (büntetlen elõélet; büntetõeljárás hatálya alatt egyes meghatározott cselekmények elkövetése miatt nem áll; foglalkozástól eltiltás hatálya alatt nem áll; egyéb kizáró ok nem merül fel).";Nem igényel nyelvtudást;Pénzügy;
Nyomdai kötészeti munkatárs;Sz.VARIÁNS Kft.;4030 Debrecen, Vikár Béla utca 4.;szorgalomkézügyességönálló munkavégzésmonotonitástûrés;Nem igényel nyelvtudást;Fizikai;Bruttó 1 600 - 1 600 Ft/óra bér
Parfüméria Értékesítési munkatárs;Müller Drogéria Magyarország Bt.;4031 Debrecen, Kishatár utca 1.;Kereskedelemben szerzett tapasztalat.Középiskolai végzettség.Vevõcentrikus gondolkodásmód, barátságos hozzáállás.Ápolt, igényes megjelenés, udvarias magatartás.Kiváló kommunikációs készség, magabiztosság.;Nem igényel nyelvtudást;Szakmunka;
Területi vezetõ (Area manager);STUDIO MODERNA 2000 TV-SHOP HUNGARY Kft.;Országosan bárhonnan végezhetõ;magabiztos, kommunikációs szintû angol nyelvtudás szóban és írásbanhasonló munkakörben szerzett 1-2 év tapasztalataz önálló munkavégzés képességeproaktivitásstressztûrésOffice ismerete és magabiztos használataAugusztusi belépésB. kategóriás jogosítvány és több éves vezetési tapasztalatutazási hajlandóság;Angol felsõfok;Értékesítés;
Rendszerszervezõ (SAP rendszerek); ;Budapest/Debrecen/Miskolc/Pécs/Sopron/Szeged;Felsõfokú informatikai vagy gazdasági szakirányú végzettség és/vagy legalább 3-5 év releváns rendszerszervezõi tapasztalatSpeciális szakmai ismeret: értékesítési, értékesítés támogatási folyamatok ismerete (SAP ECC SD modul/CRM rendszer)Jó problémamegoldási- és együttmûködési készségRendszerszemléletû, analitikus gondolkodásmódPontos, precíz munkavégzés;Nem igényel nyelvtudást;IT üzemeltetés;
Villanyszerelõ karbantartó;Agrifirm Magyarország Zrt.;4183 Kaba;szakirányú végzettségminimum 1 év szakmai tapasztalat;Nem igényel nyelvtudást;Szakmunka;
Lakatos (WHC012110); ;Püspökladány;szakirányú fémipari végzettségpontos, lelkiismeretes munkavégzés;Nem igényel nyelvtudást;Szakmunka; 
Hegesztõ (WHC012111); ;Püspökladány;szakirányú fémipari végzettségpontos, lelkiismeretes munkavégzés;Nem igényel nyelvtudást;Szakmunka; 
Raktáros (Debrecen);Referencia Mosodák Zrt.;Debrecen;Alapfokú számítógépes ismeret;Nem igényel nyelvtudást;Szakmunka;Bruttó 242e Ft havi bér
Gazdasági ügyintézõ-diszpécser;A.K.S.D. Kft.;4031 Debrecen, István út 136.;Végzettség: legalább középfokú gazdasági, vagy logisztikai végzettség, releváns felsõfokú végzettség elõnyt jelent                                                   Munkatapasztalat: gazdasági, vagy logisztikai területen szerzett szakmai gyakorlat, elõnyt jelent a vezetõi tapasztalatJogosítvány: B kategóriaSzámítástechnikai ismeret: MS Excel, Word, Outlook alapos ismereteEgyéb: célorientált személyiség, aki képes hatékonyan együttmûködni a vállalat különbözõ szintjén dolgozó kollégáival és a cég partnereivel;Nem igényel nyelvtudást;Adminisztráció;
Munkaügyi ügyintézõ;GLOBUS Konzervipari Zrt.;4030 Debrecen, Monostorpályi út 92.;Legalább középfokú szakirányú végzettség (munkaügyi, bérügyintézõi)Legalább 3-5 év munkaügyi ügyintézõ munkakörben szerzett tapasztalatMunkajogi- és adótörvények naprakész ismereteFelhasználói szintû számítógépes ismeretek, (MS Office) magas szintû Excel-ismeretGyakorlatias, precíz, rugalmas és önálló munkavégzésA munkavállalókkal való jó kapcsolatteremtõ és kommunikációs készség;Nem igényel nyelvtudást;HR;
Betermelõ gépkocsivezetõ;Agrifirm Magyarország Zrt.;4183 Kaba;Könnyû- és nehézgépkezelõi jogosítványFelelõsségteljes munkavégzés3 mûszakos, folyamatos munkarend vállalása;Nem igényel nyelvtudást;Fizikai;
Sales manager (energetics);Nano Energies Magyarország Kft.;Home Office;A technology enthusiast who will help us aggregate energy market flexibility and support services.We don't do rocket science, but analytical thinking is important for this work :-)Previous experience in B2B sales.Previous experience in the energy or power generation industry is a must (gas or electricity)A person who is happy to meet and network with representatives from other companies.A head full of ideas. We are constantly evolving and improving, with us you get the space to make anything you can think of happen.;Angol felsõfok;Értékesítés;
Építésvezetõ;ZIB Komplex Kft.;Országosan bárhonnan végezhetõ;-Kivitelezésben szerzett tapasztalat-Magasépítési anyagismeret-E-napló vezetésben jártasság-Mûszaki végzettség-MS-Office felhasználói szintû ismerete-Megbízhatóság-Önálló, precíz, gyors munkavégzés-B kategóriás jogosítvány;Angol alapfok;Építõipar;
Call-Center Back Office Manager;UD youMED Nonprofit Kft.;4032 Debrecen, Nagyerdei körút 98.;Angol nyelv társalgási szintû ismereteJó helyzetfelismerõ, gyors döntési és problémamegoldó képesség.Határozottság, nagyfokú önállóságAgilis és proaktív mûködésMegfelelõ priorizálási képesség;Angol alapfok;Adminisztráció;
Villanyszerelõ;FCS-VILL Kft.;Országosan bárhonnan végezhetõ;Önálló munkavégzés (betanított villanyszerelõ esetén párokban történõ munkavégzés), rugalmasság, megbízhatóság.;Nem igényel nyelvtudást;Szakmunka;Nettó 1 200 - 2 200 Ft/óra bér
Raktáros;ARMIN TRADE Kft.;Debrecen, Kishatár utca;Hasonló munkakörben szerzett tapasztalattalMS Office programcsomag készségszintû ismeretévelKiváló elemzõ és problémamegoldó készséggel rendelkezikPrecizitás, megbízhatóság, terhelhetõség jellemziÖnállóan és csapatban is megállja a helyét;Nem igényel nyelvtudást;Szakmunka;
Késztermék-vizsgáló laboráns;Teva;Debrecen;Vegyésztechnikusi végzettségFelhasználói szintû számítástechnikai ismeretekJó kommunikációs készség, csoportmunkára való alkalmasságPrecíz, pontos munkavégzés;Nem igényel nyelvtudást;Gyártás;
